row,product_name,missing_files,expected_count,missing_count
163,iPhone 17 Pro Max,ip17-pro-pro-max-pu-case-1.jpg,1,1
164,iPhone Air,ip17-air-pu-case-1.jpg,1,1
165,iPhone 17,ip17-pu-case-3.jpg,1,1
166,iPhone 17 Pro,ip17-pro-pro-max-pu-case-1.jpg,1,1
167,P Case iPhone 17 Series MagSafe PU Stone,"ip17-pu-case-7.jpg, ip17-pu-case-8.jpg, ip17-air-pu-case-7.jpg, ip17-air-pu-case-8.jpg, ip17-pro-pro-max-pu-case-7.jpg, ip17-pro-pro-max-pu-case-8.jpg",6,6
168,iPhone 17 Pro Max,ip17-pro-pro-max-pu-case-7.jpg,1,1
169,iPhone Air,ip17-air-pu-case-7.jpg,1,1
170,iPhone 17 Pro,ip17-pro-pro-max-pu-case-7.jpg,1,1
171,iPhone 17,ip17-pu-case-7.jpg,1,1
176,"טלוויזיה חכמה Sony Bravia Series 5 XR Mini LED Google TV 4K HDR 85""",untitled-1.png,5,1
177,85,untitled-1.png,5,1
182,"Acer Aspire Go 15 i5-120U 16GB RAM ‎15.6""‎ ‎512GB","acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-01-custom.png, acer-aspire-go-15-kv-custom.png, acer-aspire-go-15-sa1-custom.png, acer-aspire-go-15-sa2-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-05-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-07-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-08-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-09-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-logo-pure-silver-01-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-02-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-03-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-04-custom.png, acer-aspire-go-15-ag15-72p-pure-silver-port-view-01-custom.png",14,13
183,S-101693,"acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-01-custom.png, acer-aspire-go-15-kv-custom.png, acer-aspire-go-15-sa1-custom.png, acer-aspire-go-15-sa2-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-05-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-07-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-08-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-09-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-logo-pure-silver-01-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-02-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-03-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-04-custom.png, acer-aspire-go-15-ag15-72p-pure-silver-port-view-01-custom.png",14,13
184,"Acer Aspire Go 15 i7-150U 16GB RAM ‎15.6""‎ ‎512GB","acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-01-custom.png, acer-aspire-go-15-kv-custom.png, acer-aspire-go-15-sa1-custom.png, acer-aspire-go-15-sa2-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-05-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-07-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-08-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-09-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-logo-pure-silver-01-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-02-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-03-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-04-custom.png, acer-aspire-go-15-ag15-72p-pure-silver-port-view-01-custom.png",14,13
185,S-101694,"acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-01-custom.png, acer-aspire-go-15-kv-custom.png, acer-aspire-go-15-sa1-custom.png, acer-aspire-go-15-sa2-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-05-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-07-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-08-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-pure-silver-09-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-logo-pure-silver-01-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-02-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-03-custom.png, acer-aspire-go-15-ag15-72p-non-fingerprint-non-backlit-wp-pure-silver-04-custom.png, acer-aspire-go-15-ag15-72p-pure-silver-port-view-01-custom.png",14,13
186,"Acer Nitro V15 i7 16GB RAM ‎15.6""‎ ‎512GB","acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-black-04-custom.png, 0-etailer-hero-acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-logo-black-01-custom.png, acer-nitro-v-15-anv15-52-black-port-view-01-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-05-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-06-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-07-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-08-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-09-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-10-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-black-02-custom.png",11,10
187,S-101695,"acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-black-04-custom.png, 0-etailer-hero-acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-logo-black-01-custom.png, acer-nitro-v-15-anv15-52-black-port-view-01-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-05-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-06-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-07-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-08-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-09-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-black-10-custom.png, acer-nitro-v-15-anv15-52-non-fingerprint-with-backlit-on-wp-black-02-custom.png",11,10
190,Apple Watch SE 3 GPS 44mm,"apple_-4.jpg, d286c12f.jpg, apple_-2.jpg, apple_-4.jpg, 82f0f1dc.jpg, apple_-3.jpg, 491d8c6a.jpg, apple_-1.jpg, 2245fccf.jpg, apple_-2.jpg",10,10
191,Starlight Aluminium Case with Starlight Sport Band - M/L S-100655,apple_-2.jpg,1,1
192,Midnight Aluminium Case with Midnight Sport Band - S/M S-100656,apple_-4.jpg,1,1
193,Starlight Aluminium Case with Starlight Sport Band - S/M S-100654,apple_-2.jpg,1,1
194,Midnight Aluminium Case with Midnight Sport Band - M/L S-100657,apple_-4.jpg,1,1
195,Apple Watch SE 3 GPS + Cellular 44mm,"apple_-4.jpg, d286c12f.jpg, apple_-2.jpg, apple_-4.jpg, 82f0f1dc.jpg, apple_-3.jpg, 491d8c6a.jpg, apple_-1.jpg, 2245fccf.jpg, apple_-2.jpg",10,10
196,Midnight Aluminium Case with Midnight Sport Band - S/M S-100664,apple_-4.jpg,1,1
197,Midnight Aluminium Case with Midnight Sport Band - M/L S-100665,apple_-4.jpg,1,1
198,Starlight Aluminium Case with Starlight Sport Band - M/L  S-100663,apple_-2.jpg,1,1
199,Starlight Aluminium Case with Starlight Sport Band - S/M S-100662,apple_-2.jpg,1,1
